"x"
"Acris crepitans"
"Agkistrodon contortrix"
"Agroeca proxima"
"Ameiva festiva"
"Amphibolurus muricatus"
"Anodontia bullula"
"Anolis barbouri"
"Anolis carolinensis"
"Anolis cristatellus"
"Anolis cupreus"
"Anolis humilis"
"Anolis intermedius"
"Anolis lemurinus"
"Anolis limifrons"
"Anolis lionotus"
"Anolis tropidolepis"
"Austrelaps superbus"
"Barbatia pistachia"
"Bassiana duperreyi"
"Boreogadus saida"
"Calathus melanocephalus"
"Cerastoderma edule"
"Chamaeleo dilepis"
"Chamaeleo jacksonii"
"Clubiona diversa"
"Clubiona trivialis"
"Coleonyx brevis"
"Coleonyx variegatus"
"Cophosaurus texanus"
"Cordylus cordylus"
"Cordylus niger"
"Cordylus oelofseni"
"Craugastor fitzingeri"
"Crustulina guttata"
"Ctenophorus decresii"
"Ctenotus regius"
"Ctenotus taeniolatus"
"Ctenotus uber"
"Dascyllus aruanus"
"Dendrobates auratus"
"Desmognathus fuscus"
"Dipsosaurus dorsalis"
"Divaricella irpex"
"Egernia cunninghami"
"Egernia saxatilis"
"Egernia striolata"
"Eleutherodactylus coqui"
"Elgaria multicarinata"
"Engraulis japonicus"
"Engystomops pustulosus"
"Eremias argus"
"Eremias brenchleyi"
"Eremias multiocellata"
"Eremiascincus fasciolatus"
"Eremiascincus richardsoni"
"Eulamprus heatwolei"
"Eulamprus kosciuskoi"
"Eulamprus quoyii"
"Eulamprus tympanum"
"Eurycea bislineata"
"Fundulus parvipinnis"
"Gambelia wislizenii"
"Gehyra variegata"
"Halichoeres dispilus"
"Hemachatus haemachatus"
"Hemidactylus frenatus"
"Hemidactylus turcicus"
"Hemiergis decresiensis"
"Hemiergis peroni"
"Hemigrapsus nudus"
"Heteronotia binoei"
"Hoplodactylus maculatus"
"Hyalinobatrachium fleischmanni"
"Lacerta agilis"
"Lampropholis delicata"
"Lampropholis guichenoti"
"Lepidodactylus lugubris"
"Lepidophyma flavimaculatum"
"Leptodactylus pentadactylus"
"Linepithema humile"
"Liolaemus abaucan"
"Liolaemus albiceps"
"Liolaemus alticolor"
"Liolaemus altissimus"
"Liolaemus bibronii"
"Liolaemus bisignatus"
"Liolaemus boulengeri"
"Liolaemus canqueli"
"Liolaemus capillitas"
"Liolaemus chacoensis"
"Liolaemus chiliensis"
"Liolaemus constanzae"
"Liolaemus curis"
"Liolaemus cuyanus"
"Liolaemus cyanogaster"
"Liolaemus darwinii"
"Liolaemus dorbignyi"
"Liolaemus eleodori"
"Liolaemus elongatus"
"Liolaemus fabiani"
"Liolaemus fitzgeraldi"
"Liolaemus fitzingerii"
"Liolaemus fuscus"
"Liolaemus irregularis"
"Liolaemus jamesi"
"Liolaemus kingii"
"Liolaemus koslowskyi"
"Liolaemus kriegi"
"Liolaemus laurenti"
"Liolaemus lemniscatus"
"Liolaemus leopardinus"
"Liolaemus lorenzmuelleri"
"Liolaemus melanops"
"Liolaemus monticola"
"Liolaemus multicolor"
"Liolaemus multimaculatus"
"Liolaemus nigromaculatus"
"Liolaemus nigroviridis"
"Liolaemus nitidus"
"Liolaemus olongasta"
"Liolaemus ornatus"
"Liolaemus petrophilus"
"Liolaemus pictus"
"Liolaemus platei"
"Liolaemus poecilochromus"
"Liolaemus pseudoanomalus"
"Liolaemus pseudolemniscatus"
"Liolaemus quilmes"
"Liolaemus riojanus"
"Liolaemus robertmertensi"
"Liolaemus rothi"
"Liolaemus salinicola"
"Liolaemus scapularis"
"Liolaemus schroederi"
"Liolaemus telsen"
"Liolaemus tenuis"
"Liolaemus vallecurensis"
"Liolaemus walkeri"
"Liolaemus xanthoviridis"
"Littorina littorea"
"Littorina obtusata"
"Littorina saxatilis"
"Lophognathus gilberti"
"Macoma balthica"
"Malacoctenus zonifer"
"Menidia menidia"
"Moloch horridus"
"Mytilus edulis"
"Nacella concinna"
"Nannoscincus maccoyi"
"Niveoscincus metallicus"
"Niveoscincus ocellatus"
"Notechis scutatus"
"Nucella lapillus"
"Oedothorax apicatus"
"Oligosoma maccanni"
"Oncorhynchus tshawytscha"
"Pardosa nigriceps"
"Periophthalmus kalolo"
"Petrolisthes gracilis"
"Petrolisthes hirtipes"
"Philodromus aureolus"
"Phrynosoma cornutum"
"Phymaturus antofagastensis"
"Phymaturus dorsimaculatus"
"Phymaturus indistinctus"
"Phymaturus palluma"
"Phymaturus patagonicus"
"Phymaturus somuncurensis"
"Phymaturus tenebrosus"
"Phymaturus zapalensis"
"Plagiotremus azaleus"
"Platysaurus intermedius"
"Plestiodon chinensis"
"Plestiodon elegans"
"Plestiodon gilberti"
"Podarcis muralis"
"Prinerigone vagans"
"Protobothrops mucrosquamatus"
"Psammodromus algirus"
"Psammodromus hispanicus"
"Pseudacris cadaverina"
"Pseudacris regilla"
"Pseudechis porphyriacus"
"Pseudemoia entrecasteauxii"
"Pseudemoia spenceri"
"Pseudocordylus melanotus"
"Pseudonaja textilis"
"Rana cascadae"
"Rana pretiosa"
"Rankinia diemensis"
"Saproscincus mustelina"
"Sceloporus graciosus"
"Sceloporus malachiticus"
"Sceloporus merriami"
"Sceloporus occidentalis"
"Sceloporus undulatus"
"Sceloporus variabilis"
"Scinax staufferi"
"Scotina gracilipes"
"Spea hammondii"
"Sphenomorphus incognitus"
"Sphenomorphus indicus"
"Sphenomorphus taiwanensis"
"Sphoeroides maculatus"
"Stemonyphantes lineatus"
"Takydromus hsuehshanensis"
"Takydromus septentrionalis"
"Takydromus sexlineatus"
"Tautogolabrus adspersus"
"Teratoscincus przewalskii"
"Testudo hermanni"
"Thalassoma lucasanum"
"Thamnophis butleri"
"Thamnophis elegans"
"Thamnophis melanogaster"
"Thamnophis ordinoides"
"Thamnophis radix"
"Thamnophis sirtalis"
"Tiliqua nigrolutea"
"Tiliqua rugosa"
"Tlalocohyla smithii"
"Trachylepis striata"
"Trapelus savignii"
"Trimeresurus gracilis"
"Trimeresurus stejnegeri"
"Uta stansburiana"
"Varanus varius"
"Xantusia vigilis"
"Zootoca vivipara"
